"SNP1" "SNP2" "SNP3" "SNP4" "SNP5" "SNP6" "SNP7" "SNP8" "SNP9" "SNP10" "SNP11" "SNP12" "SNP13" "SNP14" "SNP15" "SNP16" "SNP17" "SNP18" "SNP19" "SNP20" "SNP21" "SNP22" "SNP23" "SNP24" "SNP25" "SNP26" "SNP27" "SNP28" "SNP29" "SNP30" "SNP31" "SNP32" "SNP33" "SNP34" "SNP35" "SNP36" "SNP37" "SNP38"
"342" 7 5 1 9 12 6 4 16 15 2 0 15 14 29 20 4 15 4 28 29 8 0 1 11 10 18 3 7 9 24 30 11 4 13 19 25 1 1
"343" 6 4 6 16 17 2 2 16 19 8 1 18 5 16 26 12 10 10 25 8 5 3 6 6 2 23 1 1 10 20 24 7 3 15 20 6 4 4
"344" 9 4 8 18 27 8 6 6 11 16 1 6 4 25 12 4 9 14 9 15 4 1 0 3 12 7 2 4 12 18 28 13 2 8 7 9 1 0
"345" 5 5 7 28 10 9 11 19 16 5 2 5 3 11 13 5 8 7 11 15 5 6 1 2 3 12 4 1 7 12 20 12 5 10 21 6 4 3
"346" 5 6 2 15 5 4 6 20 10 6 1 11 2 12 22 8 10 2 9 11 4 3 2 4 1 4 2 1 6 15 20 11 4 7 11 5 5 3
"347" 6 7 9 0 0 8 8 20 15 5 0 7 8 18 18 8 12 6 11 19 3 5 0 5 5 10 4 8 9 26 19 14 10 5 10 14 4 5
"348" 8 10 7 9 1 6 8 11 11 8 1 8 4 26 13 15 8 6 16 23 4 2 2 10 5 11 4 1 3 28 18 7 7 10 14 11 5 3
"349" 8 4 1 7 14 8 3 14 15 10 3 9 17 26 9 1 13 9 16 8 0 4 1 3 2 11 0 3 4 16 11 10 1 5 12 13 2 0
"350" 9 4 5 2 7 8 4 8 8 1 2 6 7 5 6 1 7 6 14 12 3 3 4 6 3 4 0 9 4 17 15 18 4 9 6 9 1 4
"351" 3 4 5 13 12 1 5 14 16 7 1 13 10 17 13 2 8 9 16 11 2 3 1 6 2 4 0 1 5 20 20 8 11 4 12 4 0 0
"352" 2 2 1 7 5 1 6 9 4 1 2 9 8 13 15 7 8 5 12 9 3 3 3 11 5 5 4 0 3 9 9 4 7 5 1 10 1 0
"353" 6 6 2 8 3 8 13 9 13 12 3 5 14 12 22 5 17 3 21 8 3 2 3 5 4 9 8 3 4 22 18 12 5 7 14 11 3 2
"354" 4 0 0 7 7 3 4 7 3 5 0 2 5 6 8 3 4 0 16 4 2 0 2 3 4 4 2 0 12 17 7 9 5 4 9 8 0 0
"355" 3 5 5 8 10 1 2 8 11 4 1 7 10 18 4 9 9 3 10 7 3 2 1 8 5 4 1 1 7 18 15 6 3 4 9 9 1 1
"356" 5 6 5 26 11 8 1 9 11 6 2 12 7 10 9 3 8 1 14 12 3 3 3 5 5 12 3 3 11 24 15 11 5 10 13 9 2 3
"357" 6 12 7 9 11 16 8 8 16 18 1 8 11 32 16 8 12 9 12 11 6 4 1 11 8 14 4 9 10 26 24 12 9 15 12 17 2 4
"358" 9 8 12 17 18 13 5 18 15 16 1 8 13 13 9 13 7 4 4 5 5 3 1 9 3 5 1 4 18 18 10 4 9 12 11 9 2 2
"359" 12 12 6 8 22 6 7 23 27 14 2 14 18 15 29 10 15 5 28 20 2 0 3 8 7 9 4 3 10 30 34 30 11 14 15 20 4 0
"360" 3 7 8 17 15 6 4 12 11 11 2 9 14 21 22 8 9 3 12 5 3 0 0 3 6 10 1 2 13 13 17 13 6 8 10 10 1 3
"361" 5 10 7 10 10 4 7 11 27 15 1 13 1 27 21 14 17 7 13 25 3 3 3 10 15 10 5 1 17 20 24 25 12 10 14 16 4 5
"362" 5 6 5 0 0 6 8 17 9 6 5 22 11 15 17 4 17 6 22 13 3 1 0 5 0 18 3 6 14 25 24 9 7 14 19 7 4 3
"363" 2 9 5 16 19 11 11 13 21 8 4 12 11 17 24 9 9 8 22 18 3 1 6 6 10 9 3 6 11 17 17 15 7 20 9 16 4 1
"364" 7 2 5 12 19 3 3 10 10 15 1 7 12 14 13 5 1 5 24 11 1 3 1 3 3 6 5 2 12 12 17 13 8 7 13 9 3 1
"365" 8 7 6 6 5 12 8 10 19 4 2 10 15 10 20 2 19 5 5 14 1 1 1 7 7 15 4 2 10 28 21 13 11 10 19 12 2 2
"366" 7 5 10 12 8 7 8 11 11 18 2 11 9 37 26 15 12 7 17 18 3 0 2 2 2 5 3 4 17 16 29 10 4 13 12 9 1 0
"367" 3 4 8 14 21 5 8 13 12 7 2 10 7 18 22 8 11 3 25 16 5 2 3 3 11 7 2 2 8 16 7 6 8 7 18 9 2 2
"368" 3 2 3 20 9 9 7 9 12 8 3 11 11 24 15 7 8 5 28 15 2 1 2 4 2 7 3 1 6 26 31 11 8 11 20 5 3 2
"369" 2 8 5 14 15 7 5 11 16 5 5 9 7 11 22 8 6 0 21 10 6 1 0 5 3 3 2 3 9 18 22 11 10 17 16 8 3 2
"370" 4 2 3 19 17 9 8 18 22 9 0 18 16 26 16 19 15 13 10 25 7 3 5 8 8 17 6 2 15 24 32 10 6 10 27 11 3 3
"371" 3 0 3 7 10 7 4 15 13 10 3 3 8 4 1 3 11 3 12 11 0 1 3 6 6 2 2 1 5 16 14 5 6 6 12 7 2 0
"372" 5 6 2 7 5 4 4 12 12 7 3 14 8 7 19 3 6 15 14 22 1 3 0 6 1 9 2 5 2 25 23 3 5 11 9 13 2 2
"373" 3 7 4 9 1 3 0 6 10 6 3 3 11 12 13 3 6 2 17 11 1 2 2 6 1 0 4 2 10 10 19 13 9 10 13 21 2 1
"374" 2 5 4 0 0 9 6 16 17 5 1 6 6 12 20 5 3 3 8 11 2 1 0 2 6 4 3 4 5 17 13 13 3 8 12 7 1 1
"375" 4 4 3 12 10 7 9 17 12 6 4 10 7 14 16 11 12 5 22 12 3 0 0 5 5 11 2 1 5 10 27 20 4 14 15 15 4 0
"376" 3 9 1 15 10 16 11 14 13 9 4 8 19 27 17 5 16 3 18 20 4 2 1 2 4 7 2 3 8 24 20 12 6 16 18 17 2 1
"377" 6 10 5 13 7 8 2 19 17 12 0 9 8 14 12 6 11 9 7 15 2 3 1 5 7 15 7 5 7 23 21 9 4 8 8 6 3 3
"378" 3 8 5 10 10 8 9 17 19 6 1 16 3 28 36 4 13 14 28 20 4 5 0 9 4 12 2 5 6 18 18 6 13 10 19 18 1 3
"379" 9 7 10 17 17 9 11 21 19 9 3 6 11 17 23 2 14 6 11 13 6 2 5 8 9 7 6 4 6 25 24 15 7 5 8 13 1 2
"380" 11 1 4 9 6 2 2 11 6 9 0 9 17 32 15 7 8 4 14 16 4 2 3 6 5 6 2 4 6 27 28 14 2 6 5 11 3 0
"381" 6 6 3 4 14 5 5 9 12 4 2 8 5 12 13 3 7 6 9 13 3 4 0 5 0 4 1 2 9 12 20 12 7 8 11 12 3 2
"382" 7 7 6 6 16 7 5 4 14 9 1 5 2 24 18 8 11 8 16 18 0 0 2 9 3 7 5 4 6 13 14 17 6 7 6 10 0 0
"383" 8 9 10 17 11 0 3 30 24 10 3 10 23 27 21 13 17 5 23 16 8 4 3 11 5 2 1 1 12 24 22 15 13 11 28 20 3 4
"384" 5 5 7 14 10 6 9 14 7 7 2 9 15 20 18 8 8 2 15 22 4 3 3 2 0 10 1 1 11 26 25 7 12 10 3 15 2 0
"385" 12 4 2 13 14 8 8 8 11 5 1 9 18 21 14 13 7 8 9 16 7 0 2 5 2 7 2 0 3 10 13 11 5 3 1 11 3 1
"386" 14 9 4 18 27 8 23 21 17 7 4 29 15 26 24 13 8 8 20 37 6 4 4 14 11 19 6 9 16 28 43 23 20 15 20 19 1 6
"387" 3 0 7 15 15 4 5 13 10 17 2 2 10 22 19 2 11 5 15 9 2 1 1 5 5 10 4 3 4 23 12 7 9 8 11 14 3 4
"388" 9 13 10 0 0 10 10 15 20 10 5 17 8 26 22 11 9 11 15 26 12 0 1 7 8 8 2 6 13 24 30 16 9 11 9 18 3 2
"389" 4 6 2 5 3 10 5 12 10 4 0 5 5 6 8 12 5 3 11 7 3 0 0 7 0 2 4 2 6 11 4 9 9 8 10 8 2 3
"390" 4 8 5 4 16 9 11 18 11 5 1 11 8 11 15 1 10 10 20 15 2 3 3 9 7 3 2 3 7 34 15 20 6 23 17 10 2 4
"391" 5 4 3 31 14 8 6 14 22 8 3 13 11 22 25 2 15 10 18 23 8 3 0 6 9 9 2 4 8 22 10 9 7 13 19 9 4 1
"392" 3 3 6 24 13 7 1 12 17 2 4 5 3 27 12 9 16 2 11 12 5 2 1 6 5 6 3 2 5 32 22 19 4 7 11 16 1 1
"393" 1 4 4 19 19 8 2 10 19 12 5 8 13 22 20 3 12 10 12 11 3 2 0 10 7 14 3 1 10 22 31 9 9 8 21 11 3 2
"394" 7 3 5 13 10 9 16 15 19 11 3 7 15 10 18 5 13 3 17 17 3 1 2 9 6 14 4 0 3 29 30 16 12 11 17 15 3 4
"395" 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 1 1
"396" 4 3 5 9 2 4 2 5 18 7 0 0 8 7 7 1 15 3 4 26 7 4 1 6 5 2 1 1 12 5 15 10 8 6 15 12 0 5
"397" 11 9 5 11 10 6 7 19 17 7 4 23 13 16 30 8 17 7 8 19 6 3 4 8 9 8 6 2 10 30 27 7 9 11 10 20 5 3
"398" 3 7 7 18 11 6 5 14 14 8 3 8 7 17 16 13 9 5 16 14 2 3 1 3 6 10 2 2 8 19 11 8 9 10 13 19 3 1
"399" 5 8 8 10 21 10 9 24 12 12 1 11 17 19 21 15 12 8 20 12 5 3 2 2 4 8 2 3 11 29 22 13 5 13 17 12 4 3
"400" 1 4 4 0 0 8 4 14 10 5 2 15 9 25 32 3 7 8 9 16 3 3 4 10 1 7 2 2 6 36 20 7 5 9 15 14 2 1
"401" 5 6 2 15 27 2 5 14 6 6 1 6 6 7 10 2 5 5 12 17 3 0 4 3 5 8 0 7 7 21 16 8 6 11 13 11 2 2
"402" 7 3 5 11 14 6 3 11 19 8 2 4 5 16 23 12 5 2 18 11 2 3 3 5 1 6 0 0 8 10 15 8 8 8 12 9 2 4
"403" 3 4 6 0 0 4 3 12 11 10 8 1 12 13 22 7 13 9 15 17 5 5 0 2 5 5 2 4 10 21 11 8 5 7 21 17 2 2
"404" 7 5 16 27 18 10 7 12 16 17 2 18 7 30 20 11 18 15 12 31 3 1 7 5 7 15 4 3 14 25 26 18 7 12 15 12 3 3
"405" 5 6 6 17 10 6 3 12 23 5 2 8 10 15 18 2 7 3 10 13 1 1 0 3 6 7 2 0 5 28 13 4 6 11 7 12 3 0
"406" 4 5 5 19 33 8 12 11 10 18 2 7 13 22 19 6 5 6 13 15 4 2 3 1 3 16 3 3 11 19 17 11 11 12 5 12 0 3
"407" 8 2 6 0 0 3 10 12 16 8 0 4 16 27 30 3 11 5 21 15 2 5 2 2 3 12 0 0 11 18 25 9 5 11 11 5 3 4
"408" 5 8 16 13 9 2 6 17 11 7 4 5 4 16 19 9 10 6 7 10 2 4 0 6 3 7 5 2 2 11 15 12 2 8 11 8 2 0
"409" 8 4 4 6 24 4 10 16 25 3 5 13 10 23 24 6 22 6 23 12 4 7 1 12 2 14 3 5 8 19 31 12 9 12 11 14 4 3
"410" 7 9 8 8 9 4 10 11 17 4 1 10 14 22 12 7 14 11 12 17 5 5 2 7 6 12 6 2 7 12 31 17 6 10 12 16 4 0
"411" 0 6 7 13 5 7 1 21 11 11 0 11 10 27 15 10 7 4 14 19 3 3 2 7 5 6 1 1 5 20 23 6 15 9 10 13 3 2
"412" 3 8 16 17 8 7 6 11 12 7 1 10 11 11 5 3 20 4 11 13 7 0 3 6 2 13 1 0 10 18 17 15 1 12 12 15 3 1
"413" 2 9 9 7 9 7 6 10 17 5 6 12 9 13 10 2 12 6 13 13 2 3 3 4 1 10 6 4 6 15 25 11 10 16 14 6 3 2
"414" 4 5 6 8 7 10 8 9 11 10 3 5 22 4 11 10 12 9 14 21 1 2 2 8 7 8 7 3 8 17 16 13 11 14 20 19 5 4
"415" 2 10 8 14 7 11 16 12 25 11 4 18 16 16 25 7 20 3 28 20 7 2 1 5 4 7 6 2 17 28 30 10 6 11 20 18 6 2
"416" 7 7 3 0 0 7 5 6 14 7 1 5 14 25 18 7 5 5 7 25 0 1 0 1 4 7 4 3 4 8 17 12 4 4 15 5 4 3
"417" 5 5 5 8 6 2 2 8 10 6 3 11 2 18 24 2 18 7 14 19 3 3 2 8 9 6 2 7 7 21 26 15 7 4 19 10 4 3
"418" 3 2 8 8 11 1 2 6 18 7 1 10 8 22 15 11 5 9 16 9 1 1 2 4 5 4 0 0 12 6 6 2 2 4 10 5 3 4
"419" 1 7 5 5 8 4 4 8 12 8 2 10 4 8 13 3 7 9 5 19 5 1 0 3 8 4 0 0 8 16 17 9 6 5 20 8 1 1
"420" 3 6 4 7 16 2 3 8 9 7 2 11 8 10 13 7 17 5 10 17 2 2 2 3 2 9 7 0 1 5 8 3 2 5 14 5 3 6
"421" 6 3 4 20 16 10 6 11 11 9 2 7 6 17 14 12 3 4 18 14 6 3 1 8 4 3 1 2 10 20 21 14 1 15 14 25 1 3
"422" 4 7 2 18 24 7 3 6 10 7 0 5 10 16 19 3 10 1 10 12 1 1 0 3 1 3 2 0 10 16 17 8 0 6 14 7 2 0
"423" 3 2 4 25 20 9 7 8 14 9 1 8 14 16 19 5 7 6 17 10 3 3 3 6 6 12 4 3 8 17 11 14 9 19 14 19 2 4
"424" 3 7 5 17 8 11 8 10 11 17 2 11 7 17 18 9 8 5 17 16 4 2 1 5 4 7 4 4 10 29 13 6 8 13 20 9 4 1
"425" 4 1 5 6 3 2 0 3 16 6 2 1 6 10 22 3 14 3 16 8 3 0 0 5 0 1 4 0 1 12 14 10 3 1 12 3 0 2
"426" 2 7 3 0 4 2 1 7 12 5 1 5 9 4 16 10 7 5 20 11 4 1 2 12 3 7 3 3 6 20 14 14 14 7 9 9 1 0
"427" 4 2 4 23 13 11 6 13 12 8 1 14 15 20 22 12 24 7 18 11 8 4 2 4 6 6 4 6 5 20 24 11 9 14 14 8 4 5
"428" 4 11 8 19 12 8 8 19 17 9 4 5 13 33 27 11 17 8 13 33 4 1 1 11 2 11 4 5 12 16 28 13 12 12 10 19 5 5
"429" 3 6 12 11 13 8 0 26 14 7 4 10 18 21 12 7 17 11 6 22 1 3 3 4 6 6 2 7 12 17 16 20 9 10 9 15 3 1
"430" 3 6 9 24 17 6 10 16 15 20 5 12 5 16 20 15 11 5 18 22 7 3 4 4 7 19 2 0 8 29 11 16 5 14 20 17 5 4
"431" 9 3 2 14 16 2 6 8 20 7 3 10 13 10 22 9 6 6 15 15 6 2 1 5 4 6 1 0 6 19 19 15 6 15 15 14 5 2
"432" 5 6 5 0 0 8 8 14 16 5 1 7 11 19 23 17 17 6 24 17 5 3 6 8 2 16 3 7 9 31 22 10 11 9 10 17 2 2
"433" 3 1 12 14 19 9 6 24 15 7 5 14 15 14 19 12 17 8 17 11 5 4 0 14 3 12 7 1 7 17 24 15 7 14 16 9 5 2
"434" 3 5 7 25 13 12 5 7 17 5 3 18 12 20 22 4 7 7 13 15 8 2 3 5 7 11 0 3 16 23 29 11 10 14 14 20 5 3
"435" 4 10 3 12 18 8 6 12 20 9 1 15 14 6 11 3 4 9 8 19 3 3 2 5 0 9 1 3 4 16 26 13 7 15 6 10 1 3
"436" 3 7 3 22 13 4 9 12 7 6 0 5 8 22 11 1 14 3 15 12 5 0 1 3 2 8 2 2 8 19 25 5 5 17 12 7 4 1
"437" 4 8 5 12 9 12 14 14 14 8 0 11 15 9 26 4 12 7 18 20 6 1 1 5 5 9 3 2 12 26 19 9 8 11 26 11 5 4
"438" 5 1 1 8 7 10 10 5 15 6 0 7 7 22 10 15 14 10 16 10 3 1 2 9 8 14 1 1 10 19 23 21 2 13 12 18 6 1
"439" 8 6 10 0 0 7 4 6 6 7 3 9 3 15 29 11 17 5 9 8 3 2 2 7 5 3 0 1 7 26 19 15 7 7 19 17 3 1
"440" 10 10 10 10 13 5 3 15 12 10 5 7 16 22 21 2 8 5 20 13 3 2 2 6 2 3 4 1 15 17 26 11 7 11 14 13 4 3
"441" 5 7 4 8 7 4 3 17 27 3 1 10 9 20 16 7 12 7 24 17 4 1 0 8 7 4 2 3 8 8 11 11 5 13 13 7 2 3
"442" 4 4 8 15 32 8 8 12 14 5 1 4 5 33 13 3 11 8 9 13 3 1 0 8 2 9 4 5 15 34 22 14 8 6 11 13 5 4
"443" 4 14 5 5 7 10 6 9 21 8 5 9 9 14 17 8 14 8 21 15 5 4 1 7 10 11 4 4 12 19 21 14 9 17 14 11 5 0
"444" 13 5 8 14 15 12 4 22 18 12 2 14 11 14 18 14 13 5 12 9 4 2 2 7 12 9 8 0 12 13 24 10 8 10 19 17 8 4
"445" 3 10 8 7 11 6 10 13 12 18 2 5 1 25 22 6 11 2 21 11 2 1 1 5 4 5 2 2 18 21 21 14 5 13 13 7 4 2
"446" 9 8 8 7 16 9 10 14 18 16 4 19 8 28 23 8 6 4 24 30 1 1 5 5 6 16 1 7 11 32 20 18 6 13 20 19 3 4
"447" 7 7 2 21 21 9 10 12 19 22 4 11 4 17 20 14 7 5 18 9 6 2 1 7 4 10 4 4 12 26 23 22 11 18 10 13 5 1
"448" 3 3 2 19 6 3 1 7 9 8 0 9 8 8 8 2 8 1 20 8 1 0 0 6 3 9 2 0 7 14 12 6 12 11 7 9 0 2
"449" 3 1 3 14 13 11 0 9 9 1 3 6 4 13 14 7 7 6 7 10 2 1 2 7 4 4 3 4 5 10 17 10 4 2 15 12 1 2
"450" 6 4 11 21 26 12 14 13 12 8 1 15 8 19 20 15 12 5 22 20 2 5 2 7 4 9 5 7 7 18 40 20 9 11 21 6 1 3
"451" 1 3 6 4 0 0 1 11 9 4 0 10 2 8 5 0 10 4 13 14 1 2 0 2 3 0 0 1 4 5 8 9 6 2 3 8 0 0
"452" 9 3 8 16 21 7 8 25 18 9 0 9 32 23 33 6 10 8 16 9 7 2 0 16 6 9 3 2 14 13 26 16 19 8 17 11 0 0
"453" 10 9 9 6 4 7 3 16 21 10 8 20 17 22 26 6 10 15 19 18 5 9 1 2 3 13 3 4 11 35 26 10 8 11 16 15 2 4
"454" 4 12 4 9 4 6 7 20 14 10 0 8 6 15 23 6 9 3 22 24 2 3 2 5 2 8 3 3 8 20 20 20 4 9 10 9 1 2
"455" 10 8 8 10 12 16 13 9 22 14 4 21 12 23 21 12 18 11 23 16 5 4 1 8 6 17 10 5 8 24 21 9 8 13 16 14 5 0
"456" 5 8 5 19 11 12 10 10 16 9 0 9 9 20 12 2 9 6 15 14 3 1 0 7 6 4 4 2 13 11 17 14 1 8 10 3 6 2
"457" 6 6 5 17 11 15 10 13 17 7 5 17 23 13 8 3 22 7 17 12 2 2 0 12 9 11 1 3 13 13 36 16 4 17 11 13 4 5
"458" 3 8 0 27 19 11 8 8 9 8 1 8 9 17 23 6 11 9 15 8 2 3 3 8 5 5 1 4 10 20 12 7 9 14 10 5 0 1
"459" 7 16 6 6 2 0 0 9 21 2 0 4 12 16 22 5 22 0 15 17 6 2 1 9 4 1 3 0 4 25 21 14 10 9 16 12 2 4
"460" 8 2 5 11 5 9 4 15 9 5 1 5 6 20 5 4 10 5 5 4 3 3 4 4 5 7 1 4 9 22 20 6 1 7 5 12 0 0
"461" 8 7 2 14 5 6 10 8 23 7 1 19 19 22 20 7 7 8 24 18 3 2 5 4 9 4 4 2 8 23 24 15 5 13 13 11 3 6
"462" 13 2 3 12 4 12 8 17 19 12 4 11 9 5 12 5 7 8 18 19 5 0 2 10 4 7 4 4 12 24 25 8 7 15 21 11 2 5
"463" 2 5 3 12 6 3 3 20 10 4 1 4 9 20 3 9 6 1 14 13 3 4 2 4 8 7 4 0 4 14 11 14 4 5 8 19 0 4
"464" 10 2 11 0 0 3 6 22 13 7 3 10 28 26 32 9 12 2 28 14 7 3 3 14 8 10 1 6 12 26 31 30 10 18 16 23 2 0
"465" 5 6 3 11 12 3 2 16 16 7 6 15 15 11 16 8 17 8 11 21 3 2 1 9 5 6 0 2 6 26 21 9 7 10 11 17 0 3
"466" 4 7 2 2 3 4 5 8 9 8 0 9 12 13 24 7 11 14 9 11 6 0 2 7 9 11 5 2 9 10 17 8 14 6 8 12 3 2
"467" 4 7 8 5 6 10 4 10 16 13 1 7 8 9 27 3 5 6 12 27 2 2 2 4 5 3 2 4 10 20 18 8 8 20 23 21 4 4
"468" 10 9 2 7 30 8 6 12 15 10 3 7 21 22 24 13 15 13 25 15 6 4 3 20 11 19 3 6 6 31 24 15 8 10 17 11 3 3
"469" 4 8 4 13 7 7 11 4 7 8 2 8 11 8 6 9 1 7 10 10 0 1 1 1 7 13 2 1 4 6 14 4 3 8 14 7 3 0
"470" 4 6 13 27 20 9 9 13 29 24 8 13 21 19 23 16 19 9 21 30 10 5 5 11 14 15 6 3 17 26 20 14 14 20 22 24 9 2
"471" 10 11 4 7 8 10 9 17 16 17 1 18 12 23 27 7 12 3 19 22 2 4 5 6 6 12 9 4 10 22 15 12 8 14 13 18 2 3
"472" 2 10 0 26 15 8 8 12 4 5 0 3 11 12 13 11 12 5 7 11 0 2 2 8 3 5 4 5 10 18 16 11 6 7 16 8 2 3
"473" 1 15 16 23 18 2 5 16 27 9 3 20 18 14 13 14 16 7 21 37 5 3 3 6 5 14 8 2 12 26 24 20 13 10 14 14 3 4
"474" 4 11 10 13 5 10 7 24 12 15 3 17 10 30 19 9 7 7 10 27 4 1 4 12 1 13 6 2 7 40 26 15 8 17 16 15 6 2
"475" 6 5 4 13 9 4 4 14 11 6 1 11 29 27 20 7 5 7 18 11 4 4 3 3 6 13 4 2 5 23 16 18 10 5 13 13 2 2
"476" 3 10 1 0 0 0 14 8 18 3 2 11 6 14 16 6 6 8 9 20 3 0 2 2 5 9 5 1 9 19 10 3 6 9 16 11 5 0
"477" 3 11 4 23 15 1 16 7 16 12 1 13 5 28 13 4 7 3 22 12 4 3 2 12 2 7 3 0 7 28 21 12 6 13 10 10 4 0
"478" 4 8 7 36 18 19 8 20 16 14 4 9 12 22 26 12 20 12 20 21 1 4 0 12 5 3 4 3 16 23 25 5 9 13 17 16 4 3
"479" 9 5 6 14 9 8 4 18 15 7 1 5 10 15 26 9 6 10 13 13 1 1 2 7 2 9 2 2 7 36 16 9 5 15 12 11 4 2
"480" 8 6 4 10 6 7 5 8 18 5 4 12 9 21 32 5 14 2 17 17 2 0 1 19 5 6 4 4 13 18 22 16 2 8 18 12 4 1
"481" 5 5 3 13 13 5 7 19 14 6 4 17 9 34 24 2 6 8 6 9 3 1 1 9 2 10 4 0 11 34 18 13 9 8 15 7 5 1
"482" 8 6 13 12 11 9 10 18 19 9 3 15 6 13 2 2 13 5 16 17 4 1 2 4 1 15 0 5 12 24 18 13 8 8 14 19 1 1
"483" 3 4 3 10 10 2 4 11 18 4 4 11 3 18 12 8 15 4 13 10 3 2 6 2 7 2 2 3 7 16 18 13 5 7 16 7 0 2
"484" 10 10 8 13 26 12 5 11 25 18 0 6 10 16 20 11 13 5 22 20 1 4 1 5 1 12 4 3 13 19 33 16 7 12 17 11 0 3
"485" 2 3 3 11 14 3 4 10 5 10 1 1 11 16 13 10 4 6 15 17 2 4 2 6 3 6 7 4 7 17 17 4 9 15 9 5 1 2
"486" 7 8 8 11 13 9 6 10 10 6 2 9 9 16 18 7 18 8 19 17 5 3 1 4 8 18 3 1 8 20 27 18 10 11 29 14 3 5
"487" 6 10 11 20 24 16 10 17 17 15 3 13 13 28 18 6 9 10 24 18 3 1 5 5 4 15 5 4 17 22 11 15 9 17 25 14 2 6
"488" 6 13 8 28 21 13 15 13 29 9 3 21 14 31 20 12 15 10 28 22 3 1 4 10 3 18 6 2 15 25 23 16 13 15 28 20 5 5
"489" 8 3 10 1 2 15 8 17 11 16 1 14 2 11 23 15 13 11 17 26 3 0 1 21 3 18 4 3 12 17 28 13 9 17 15 20 5 2
"490" 4 8 9 0 0 21 5 18 18 13 2 17 14 13 21 10 5 4 12 16 3 3 1 5 7 6 3 0 10 24 9 5 12 14 12 13 3 3
"491" 7 5 4 13 3 6 10 20 7 10 4 9 4 15 19 5 9 10 19 10 5 4 3 10 7 10 3 4 10 20 17 8 6 19 17 11 10 5
"492" 11 7 7 11 16 6 13 15 9 12 0 11 10 15 11 4 13 5 8 15 4 2 1 4 4 7 3 4 3 22 28 8 3 8 20 10 7 2
"493" 8 12 0 15 15 7 2 10 15 9 5 9 16 20 22 9 12 4 15 12 7 2 1 10 3 7 1 2 10 26 11 12 9 14 23 8 3 1
"494" 3 5 4 24 22 1 9 9 14 3 3 6 8 10 19 7 4 7 12 12 3 1 0 4 8 12 0 3 6 18 19 15 7 7 14 14 2 3
"495" 9 5 4 13 18 10 10 4 12 8 2 9 5 21 12 8 8 9 14 20 8 1 2 5 3 12 6 4 20 20 24 11 3 8 18 10 2 6
"496" 2 1 9 16 8 7 14 10 12 8 5 15 9 20 18 12 17 7 18 17 0 2 1 12 8 9 5 2 12 17 18 11 11 9 25 19 1 3
"497" 6 6 6 14 13 4 7 8 11 6 2 8 9 16 15 9 9 7 13 12 4 2 2 9 4 9 1 1 6 25 21 2 12 3 10 10 5 3
"498" 2 7 5 8 6 6 10 15 10 7 0 13 9 20 16 8 6 6 15 15 5 3 5 3 8 6 3 4 15 14 24 13 10 8 6 15 3 3
"499" 7 1 13 17 17 2 4 21 13 9 1 3 18 23 14 7 13 4 22 17 3 2 2 4 5 12 4 1 6 20 20 7 6 10 18 6 3 5
"500" 3 5 6 7 13 0 3 24 18 4 2 10 4 12 9 7 11 5 10 8 0 2 3 9 3 2 3 3 6 11 11 5 10 4 10 25 1 0
"501" 4 5 7 9 6 12 8 10 14 15 0 7 8 20 16 4 6 4 13 7 3 4 1 2 7 9 1 2 5 19 22 17 11 11 7 4 4 1
"502" 7 5 5 5 7 6 2 14 16 11 3 7 11 13 10 10 9 10 13 18 4 3 0 6 9 10 3 8 10 13 22 15 7 7 6 11 2 1
"503" 4 10 7 20 10 8 7 12 19 11 2 10 9 28 22 8 10 2 26 10 2 4 2 7 1 13 3 2 12 22 19 10 5 11 20 8 3 1
"504" 4 3 4 7 5 1 9 6 7 3 1 10 8 12 12 5 9 2 7 4 2 0 1 6 2 8 4 0 16 12 16 10 6 11 9 7 0 0
"505" 5 10 7 5 15 5 6 11 7 8 4 9 7 31 14 3 14 9 14 7 2 4 1 13 4 13 2 1 11 18 23 17 16 6 18 8 2 0
"506" 2 5 1 1 4 3 0 13 11 10 0 7 6 4 11 5 12 2 10 9 0 3 0 5 3 1 0 1 6 16 25 5 7 7 11 6 0 2
"507" 1 3 5 10 4 9 4 5 7 7 1 6 6 8 19 7 11 4 25 12 3 4 0 6 3 2 5 2 13 14 15 4 10 7 10 6 7 3
"508" 6 7 5 20 22 9 4 9 9 6 5 14 7 22 14 8 8 0 23 12 6 1 1 6 1 10 2 4 9 16 20 15 4 0 11 10 1 2
"509" 1 10 7 8 12 8 4 15 9 6 2 7 8 14 15 12 13 1 31 19 5 0 0 2 9 17 1 5 12 27 23 14 12 15 13 6 1 4
"510" 5 2 3 7 21 9 10 12 6 11 3 12 19 12 19 5 7 3 7 13 5 1 1 5 0 12 0 1 4 17 17 4 7 5 12 7 0 1
"511" 6 3 5 0 0 7 2 6 12 6 4 9 8 19 12 5 8 3 12 9 2 3 0 7 2 5 0 2 6 10 14 5 4 5 10 3 5 0
"512" 13 5 3 10 10 13 8 17 8 8 0 11 20 25 23 12 8 8 14 28 5 1 3 7 4 12 7 2 9 9 21 16 8 10 21 10 6 7
"513" 2 4 6 18 4 9 11 6 12 13 2 19 7 13 18 10 12 11 15 16 5 0 3 6 5 10 3 6 3 22 19 8 6 13 15 12 3 8
